icd103,chapter,l1,l2
A00,I Certain infectious and parasitic diseases,Intestinal infectious diseases,Cholera
A01,I Certain infectious and parasitic diseases,Intestinal infectious diseases,Typhoid and paratyphoid fevers
A02,I Certain infectious and parasitic diseases,Intestinal infectious diseases,Other salmonella infections
A03,I Certain infectious and parasitic diseases,Intestinal infectious diseases,Shigellosis
A04,I Certain infectious and parasitic diseases,Intestinal infectious diseases,Other bacterial intestinal infections
A05,I Certain infectious and parasitic diseases,Intestinal infectious diseases,Other bacterial foodborne intoxications; not elsewhere classified
A06,I Certain infectious and parasitic diseases,Intestinal infectious diseases,Amoebiasis
A07,I Certain infectious and parasitic diseases,Intestinal infectious diseases,Other protozoal intestinal diseases
A08,I Certain infectious and parasitic diseases,Intestinal infectious diseases,Viral and other specified intestinal infections
A09,I Certain infectious and parasitic diseases,Intestinal infectious diseases,Other gastroenteritis and colitis of infectious and unspecified origin
A15,I Certain infectious and parasitic diseases,Tuberculosis,Respiratory tuberculosis; bacteriologically and histologically confirmed
A16,I Certain infectious and parasitic diseases,Tuberculosis,Respiratory tuberculosis; not confirmed bacteriologically or histologically
A17,I Certain infectious and parasitic diseases,Tuberculosis,Tuberculosis of nervous system
A18,I Certain infectious and parasitic diseases,Tuberculosis,Tuberculosis of other organs
A19,I Certain infectious and parasitic diseases,Tuberculosis,Miliary tuberculosis
A20,I Certain infectious and parasitic diseases,Certain zoonotic bacterial diseases,Plague
A21,I Certain infectious and parasitic diseases,Certain zoonotic bacterial diseases,TBC
A22,I Certain infectious and parasitic diseases,Certain zoonotic bacterial diseases,Anthrax
A23,I Certain infectious and parasitic diseases,Certain zoonotic bacterial diseases,Brucellosis
A24,I Certain infectious and parasitic diseases,Certain zoonotic bacterial diseases,Glanders and melioidosis
A25,I Certain infectious and parasitic diseases,Certain zoonotic bacterial diseases,Rat-bite fevers
A26,I Certain infectious and parasitic diseases,Certain zoonotic bacterial diseases,Erysipeloid
A27,I Certain infectious and parasitic diseases,Certain zoonotic bacterial diseases,Leptospirosis
A28,I Certain infectious and parasitic diseases,Certain zoonotic bacterial diseases,Other zoonotic bacterial diseases; not elsewhere classified
A30,I Certain infectious and parasitic diseases,Other bacterial diseases,Leprosy [Hansen's disease]
A31,I Certain infectious and parasitic diseases,Other bacterial diseases,Infection due to other mycobacteria
A32,I Certain infectious and parasitic diseases,Other bacterial diseases,Listeriosis
A33,I Certain infectious and parasitic diseases,Other bacterial diseases,TBC
A34,I Certain infectious and parasitic diseases,Other bacterial diseases,TBC
A35,I Certain infectious and parasitic diseases,Other bacterial diseases,Other tetanus
A36,I Certain infectious and parasitic diseases,Other bacterial diseases,Diphtheria
A37,I Certain infectious and parasitic diseases,Other bacterial diseases,Whooping cough
A38,I Certain infectious and parasitic diseases,Other bacterial diseases,Scarlet fever
A39,I Certain infectious and parasitic diseases,Other bacterial diseases,Meningococcal infection
A40,I Certain infectious and parasitic diseases,Other bacterial diseases,Streptococcal sepsis
A41,I Certain infectious and parasitic diseases,Other bacterial diseases,Other sepsis
A42,I Certain infectious and parasitic diseases,Other bacterial diseases,Actinomycosis
A43,I Certain infectious and parasitic diseases,Other bacterial diseases,Nocardiosis
A44,I Certain infectious and parasitic diseases,Other bacterial diseases,Bartonellosis
A45,I Certain infectious and parasitic diseases,Other bacterial diseases,TBC
A46,I Certain infectious and parasitic diseases,Other bacterial diseases,Erysipelas
A48,I Certain infectious and parasitic diseases,Other bacterial diseases,Other bacterial diseases; not elsewhere classified
A49,I Certain infectious and parasitic diseases,Other bacterial diseases,Bacterial infection of unspecified site
A50,I Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,Congenital syphilis
A51,I Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,Early syphilis
A52,I Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,Late syphilis
A53,I Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,Other and unspecified syphilis
A54,I Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,Gonococcal infection
A55,I Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,Chlamydial lymphogranuloma (venereum)
A56,I Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,Other sexually transmitted chlamydial diseases
A57,I Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,Chancroid
A58,I Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,TBC
A59,I Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,Trichomoniasis
A60,I Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,Anogenital herpesviral [herpes simplex] infection
A61,I Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,TBC
A62,I Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,TBC
A63,I Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,Other predominantly sexually transmitted diseases; not elsewhere classified
A64,I Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,Unspecified sexually transmitted disease
A65,I Certain infectious and parasitic diseases,Other spirochaetal diseases,TBC
A66,I Certain infectious and parasitic diseases,Other spirochaetal diseases,Yaws
A67,I Certain infectious and parasitic diseases,Other spirochaetal diseases,Pinta [carate]
A68,I Certain infectious and parasitic diseases,Other spirochaetal diseases,Relapsing fevers
A69,I Certain infectious and parasitic diseases,Other spirochaetal diseases,Other spirochaetal infections
A70,I Certain infectious and parasitic diseases,Other diseases caused by chlamydiae,Chlamydia psittaci infection
A71,I Certain infectious and parasitic diseases,Other diseases caused by chlamydiae,Trachoma
