study_id,extracted_data,checked_data,first_author,title,duplicate_intervention,study_year,doi,source,include,exclusion _reason,mmat_s1_clear_research_questions,mmat_s2_appropriate_methods,mmat_pass_screening,mmat_study_type,mmat_q1,mmat_q2,mmat_q3,mmat_q4,mmat_q5,mmat_all_yes,mmat_comments,country,region,region2,setting,ost_medication_type,years_implemented,first_year,first_year_group,elements,type,intervention_description,population / participants,subgroup,sample,age,comparison_group,outcome_measures,study_design,Brief description of study findings,conclude_effective
1,DL,NT ,Ahmed,"A scalable, automated warm handoff from the emergency department to community sites offering continued medication for opioid use disorder: Lessons learned from the EMBED trial stakeholders.",,2019,10.1016/j.jsat.2019.05.006,database 1,no,no relevant outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DL,NT ,Sokol,Linking MATTERS: Barriers and Facilitators to Implementing Emergency Department-Initiated Buprenorphine-Naloxone in Patients with Opioid Use Disorder and Linkage to Long-Term Care.,,2021,10.1080/10826084.2021.1906280,database 1,no,no relevant outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DL,MW,Winetsky,Expanding Treatment Opportunities for Hospitalized Patients with Opioid Use Disorders.,,2018,10.12788/jhm.2861,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MB,MW,Tang,Case Series: Limited Opioid Withdrawal With Use of Transdermal Buprenorphine to Bridge to Sublingual Buprenorphine in Hospitalized Patients.,,2020,10.1111/ajad.12964,database 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MB,VH,Samuels,"Emergency Department and Hospital Care forOpioid Use Disorder: Implementation ofStatewide Standards in Rhode Island, 2017-2018",,2019,10.2105/AJPH.2018.304847,database 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,TDB,NT ,Wakeman,A hospital-wide initiative to redesign substance use disorder care: Impact on pharmacotherapy initiation.,yes - study 33,2021,10.1080/08897077.2020.1846664,database 1,yes,include,yes,yes,yes,quantitative descriptive,yes,yes,yes,yes,yes,yes,Case series method,United States,Massachusetts,Northeast states,medical wards,Buprenorphine,2014-2019,2014,2010-2014,"Measures to improve continuity of pre-existing OAT (e.g. medicine reconciliation);Measures to improve continuity after initiation of OAT in hospital (e.g. bridge prescriptions, partnerships with community OAT providers);Training and education in relation to OAT;Multidisciplinary patient review;Providing advice about OAT to primary medical teams",addiction_consult,"Description and quantitative evaluation of specialized hospital inpatient addiction consultation service, including rates of buprenorphine OAT continuation and initiation. Also tracked ongoing engagement in buprenorphine OAT after hospital discharge.",Hospital inpatients with substance use disorders,,"7,036 total. 4,959 hospital inpatients. 1,528 hospital inpatients with reported opioid use","Among all hospital inpatients seen by specialized addiction consultation team (not specific to opioid use) Median 49, IQR 37-59. Bridge clinic Median 37 IQR 31-47), Coach Median 44 (IQR 33-56), OBAT 44 (IQR 33-55), Total 47 IQR (35-58) ",None,"number of patients treatment treated, number of prescriptions, length of continuous buprenorphine treatment after SUDI service (days), number of days on buprenorphine treatment after SUDI service",case series,"Since 2014, ACT completed consults on 4,959 unique patients... 49% had opioid use disorder as reported in text, and/or 1,528 (31%) had opioid use as reported in Table 1.

There were 1,020 buprenorphine OAT initiations following the first ACT encounter as reported in text and/or 1,324 buprenorphine OAT initiations as reported in Table 2. 

The mean duration of buprenorphine treatment for patients initiated following ACT contact was 184.91days.",yes
9,DL,NT ,Vyas,"Creation of a Multidisciplinary Drug Use Endocarditis Treatment (DUET) Team: Initial Patient Characteristics, Outcomes, and Future Directions",,2022,10.1093/ofid/ofac047,database 1,yes,include,yes,yes,yes,quantitative descriptive,yes,yes,yes,yes,yes,yes,Suitable design for describing the characteristics of patients. Case series design.,United States,Massachusetts,Northeast states,medical wards,Methadone and buprenorphine,August 2018 to May 2020,2018,2015-2019,Multidisciplinary patient review;OAT guidance or protocol;Providing advice about OAT to primary medical teams;Improving specialty-specific care for patients who are dependent on opioids,building_capacity,"The Drug Use Endocarditis Treatment (DUET) team is made of a core group of members from Addiction Medicine, Cardiac Surgery, Cardiology, and Infectious Diseases. DUET team meetings are multidisciplinary patient care conferences involving the core specialties as well as the primary inpatient medical team, primary care physician, pharmacists, nurses, social workers, recovery coaches, and other relevant medical specialties as needed (eg, nephrology, neurosurgery). The DUET team meets monthly and on an ad hoc basis to provide a regular forum for multiple specialties to discuss their shared patients with DUA-IE, come to a consensus on management decisions within an appropriate time frame, and reflect on outcomes.",Hospital patients with drug use associated infective endocarditis,,57,Median 35 (IQR 31-40),None,discharged from the index admission on a medication for opioid use disorder,case series,"MOUD initiated in hospital: 20/57 were on MOUD before admission. 37/57 were discharged on MOUD (25/37 methadone; 10/37 buprenorphine; 1/37 injectable naltrexone). Severe infections - high readmission and mortality rate (9% died). The DUET team was considered successful because lots of specialties are involved in treatment of drug use associated IE, and addiction medicine is central to successful inpatient treatment.",yes
10,RG,NT ,Ray,Computerized Clinical Decision Support System for Emergency Department-Initiated Buprenorphine for Opioid Use Disorder: User-Centered Design.,,2019,10.2196/13121,database 1,no,no relevant outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,MB,NT ,Sorensen,Randomized trial of drug abuse treatment-linkage strategies.,,2005,10.1037/0022-006X.73.6.1026,database 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MB,NT ,Ramdin,The Impact of a Peer-Navigator Program on Naloxone Distribution and Buprenorphine Utilization in the Emergency Department,,2022,10.1080/10826084.2021.2023187,database 1,yes,include,yes,yes,yes,quantitative non-randomised,yes,yes,yes,no,yes,no,"Format is a pre and post exposure to peer navigator, with the outcome of aggregated administration of buprenorphine in the ED, hence time varying confounding is not controlled. The study takes into account the confouding factor of COVID 19 impacting presentations to the emergency department",United States,New Jersey,Northeast states,ED,Buprenorphine,November 2017 - December 2020,2017,2015-2019,OAT guidance or protocol;Peer support for patients who need OAT,ed_ost,"First phase was the implementation of a protocol for the adminstration of both Naloxone kits, and buprenorphine administration. Second phase was the introduction of peer navigators in ED",Population presenting to ED in the specified time period - unclear beyond this as dissegrated data,,size population in which events arose is not reported,unknown,None,monthly rate of administrations of buprenorphine in the emergency department,before vs. after,"That the intorduction of a protocol in ED for Bup administration increased the number of doses administered, from 36.7 to 49.5 av monthly administrations. Following peer navigator program the rate of administrations per month increased to 65.1, a statistically significant difference. Notably there is the COVID pandemic in the middle of the program which changes the number and type of ED visits, but this is taken into account by not including the direct 1st wave data in the final aggregated outcomes 

The Peer Navigator program itself is vaguely described as ""offers patients with
OUD that come to the ED services for linkage to buprenorphine treatment, follow up care (reminder appointments and assistance with insurance prior authorizations for medication), education on harm reduction, linkage to shelters when applicable, and assistance with transportation and applying for benefits such as welfare, unemployment, disability, and food stamps"" 

Note this paper also includes data on Naloxone kit distribution which is interesting but not directly our question",yes
14,MB,NT ,Reuter,Long-term treatment retention of an emergency department initiated medication for opioid use disorder program.,,2022,10.1016/j.ajem.2022.02.041,database 1,no,no relevant intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,VH,NT ,Pirard,Changing Pathways to Opioid Use Disorder Recovery During Inpatient Care,,2020,10.1097/ADM.0000000000000742,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,VH,NT ,Noori,Describing a novel online substance use treatment model using an evaluative framework consultation-liaison service in an academic medical center,,2021,10.1111/ajad.13173,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,GW,NT ,McMillian,Development of a methadone order form for inpatients.,,2009,10.2146/ajhp090132,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,MB,NT ,Theisen-Toupal,Inpatient Management of Opioid Use Disorder: A Review for Hospitalists.,,2017,10.12788/jhm.2731,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MB,NT ,Low,Initiating buprenorphine/naloxone for opioid use disorder in the emergency department.,,2020,10.29173/cjen15,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,MB,NT ,Love,Should Buprenorphine Be Administered to Patients With Opioid Withdrawal in the Emergency Department?,,2018,10.1016/j.annemergmed.2017.10.002,database 1,no,wrong population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MB,NT ,LeSaint,Buprenorphine for Opioid Use Disorder in the Emergency Department: A Retrospective Chart Review.,,2020,10.5811/westjem.2020.6.46452,database 1,no,no relevant outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MB,NT ,Koch,Implementation and results of a symptom-triggered opioidwithdrawal protocol at a Veterans Affairs medical center,,2018,10.9740/mhc.2017.11.282,database 1,no,no relevant outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MB,NT ,Knopf,Washington STR funds care coordinators to help buprenorphine prescribers.,,2018,10.1002/adaw.32035,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,MB,NT ,Kilaru,Participation in a Hospital Incentive Program for Follow-up Treatment for Opioid Use Disorder.,,2020,10.1001/jamanetworkopen.2019.18511,database 1,no,no relevant outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,VH,NT ,Patel,An anesthesiologist-led inpatient buprenorphine initiative.,,2021,10.1111/papr.12996,database 1,no,wrong study design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
